Participant,Device,Method,Size,Angle
P6,Normal,Clipped,ThreeQuarters,0.0534
P6,tPad,Normal,Quarter,0.389
P6,tPad,Normal,Quarter,0.785
P6,tPad,Normal,Quarter,1.1966
P6,Normal,Clipped,Half,0.2814
P6,Normal,Clipped,Half,1.4399
P6,Normal,Clipped,Half,0.0863
P6,Normal,Clipped,Half,1.1497
P6,Normal,Clipped,Half,0
P6,Normal,Clipped,Half,0.5536
P6,Normal,Clipped,Half,0
P6,Normal,Clipped,Half,0.3064
P6,Normal,Clipped,Half,0.0428
P6,tPad,Normal,Half,1.7029
P6,tPad,Normal,Half,0.0668
P6,tPad,Normal,Half,0.5041
P6,tPad,Normal,Half,0.45
P6,tPad,Normal,Half,0.8543
P6,tPad,Normal,Half,1.7353
P6,tPad,Normal,Half,0.7515
P6,tPad,Normal,Half,0.7917
P6,tPad,Normal,Half,1.1742
P6,Normal,Clipped,Quarter,1.7723
P6,Normal,Clipped,Quarter,1.6736
P6,Normal,Clipped,Quarter,1.1017
P6,Normal,Clipped,Quarter,0.4897
P6,Normal,Clipped,Quarter,0.9535
P6,Normal,Clipped,Quarter,0.3603
P6,Normal,Clipped,Quarter,0.0735
P6,Normal,Clipped,Quarter,0
P6,Normal,Clipped,Quarter,0.4952
P6,tPad,Normal,ThreeQuarters,0.1338
P6,tPad,Normal,ThreeQuarters,0.6349
P6,tPad,Normal,ThreeQuarters,1.7237
P6,tPad,Normal,ThreeQuarters,0.0928
P6,tPad,Normal,ThreeQuarters,0.1182
P6,tPad,Normal,ThreeQuarters,1.4634
P6,tPad,Normal,ThreeQuarters,0.9511
P6,tPad,Normal,ThreeQuarters,2.5178
P6,tPad,Normal,ThreeQuarters,0.432
P6,Normal,Normal,ThreeQuarters,0.1628
P6,Normal,Normal,ThreeQuarters,2.3137
P6,Normal,Normal,ThreeQuarters,0.6987
P6,Normal,Normal,ThreeQuarters,1.6227
P6,Normal,Normal,ThreeQuarters,2.3579
P6,Normal,Normal,ThreeQuarters,0.5041
P6,Normal,Normal,ThreeQuarters,0
P6,Normal,Normal,ThreeQuarters,0.5768
P6,Normal,Normal,ThreeQuarters,3.1701
P6,tPad,Clipped,Quarter,0.3677
P6,tPad,Clipped,Quarter,2.8627
P6,tPad,Clipped,Quarter,0.4444
P6,tPad,Clipped,Quarter,0.636
P6,tPad,Clipped,Quarter,0.7201
P6,tPad,Clipped,Quarter,4.2542
P6,tPad,Clipped,Quarter,0.2863
P6,tPad,Clipped,Quarter,0.9349
P6,tPad,Clipped,Quarter,1.1499
P6,Normal,Normal,Half,1.9092
P6,Normal,Normal,Half,0.8637
P6,Normal,Normal,Half,2.1113
P6,Normal,Normal,Half,1.7014
P6,Normal,Normal,Half,0.3515
P6,Normal,Normal,Half,1.7715
P6,Normal,Normal,Half,1.0878
P6,Normal,Normal,Half,2.035
P6,Normal,Normal,Half,1.3721
P6,tPad,Clipped,Half,2.7999
P6,tPad,Clipped,Half,0.4801
P6,tPad,Clipped,Half,0.1255
P6,tPad,Clipped,Half,0.2551
P6,tPad,Clipped,Half,0.1426
P6,tPad,Clipped,Half,0.6891
P6,tPad,Clipped,Half,0.4053
P6,tPad,Clipped,Half,0.1097
P6,tPad,Clipped,Half,0.4907
P6,Normal,Normal,Quarter,0.6095
P6,Normal,Normal,Quarter,1.8476
P6,Normal,Normal,Quarter,1.828
P6,Normal,Normal,Quarter,2.2724
P6,Normal,Normal,Quarter,1.3577
P6,Normal,Normal,Quarter,0
P6,Normal,Normal,Quarter,0.5509
P6,Normal,Normal,Quarter,2.0026
P6,Normal,Normal,Quarter,0
P6,tPad,Clipped,ThreeQuarters,0.0439
P6,tPad,Clipped,ThreeQuarters,1.5362
P6,tPad,Clipped,ThreeQuarters,0.4552
P6,tPad,Clipped,ThreeQuarters,0.7204
P6,tPad,Clipped,ThreeQuarters,0.4154
P6,tPad,Clipped,ThreeQuarters,1.0136
P6,tPad,Clipped,ThreeQuarters,1.0823
P6,tPad,Clipped,ThreeQuarters,0.2587
P6,tPad,Clipped,ThreeQuarters,1.3489
P7,tPad,Normal,Quarter,1.8798
P7,tPad,Normal,Quarter,2.0793
P7,tPad,Normal,Quarter,0.967
P7,tPad,Normal,Quarter,0.1862
P7,tPad,Normal,Quarter,1.1545
P7,tPad,Normal,Quarter,0.577
P7,tPad,Normal,Quarter,1.1532
P7,tPad,Normal,Quarter,0.6427
P7,tPad,Normal,Quarter,0.5603
P7,tPad,Normal,Half,1.9745
P7,tPad,Normal,Half,2.7058
P7,tPad,Normal,Half,0.1359
P7,tPad,Normal,Half,1.4857
