Participant,Device,Method,Size,Offset
P5,Normal,Normal,ThreeQuarters,0.1597
P5,Normal,Normal,Half,0.2197
P5,Normal,Normal,Half,0.2005
P5,Normal,Normal,Half,0.1563
P5,Normal,Normal,Half,0.0601
P5,Normal,Normal,Half,0.0745
P5,Normal,Normal,Half,0.0779
P5,Normal,Normal,Half,0.13
P5,Normal,Normal,Half,0.0584
P5,Normal,Normal,Half,0.0769
P5,Normal,Normal,Quarter,0.7132
P5,Normal,Normal,Quarter,0.2938
P5,Normal,Normal,Quarter,0.0435
P5,Normal,Normal,Quarter,0.0283
P5,Normal,Normal,Quarter,0.0727
P5,Normal,Normal,Quarter,0.1584
P5,Normal,Normal,Quarter,0.2439
P5,Normal,Normal,Quarter,0.3319
P5,tPad,Clipped,Quarter,0.0358
P5,tPad,Clipped,Quarter,0.1375
P5,tPad,Clipped,Quarter,0.072
P5,tPad,Clipped,Quarter,0.089
P5,tPad,Clipped,Quarter,0.0792
P5,tPad,Clipped,Quarter,0.0647
P5,tPad,Clipped,Quarter,0.0645
P5,tPad,Clipped,Quarter,0.0383
P5,tPad,Clipped,Quarter,0.0889
P5,tPad,Clipped,ThreeQuarters,0.0251
P5,tPad,Clipped,ThreeQuarters,0.129
P5,tPad,Clipped,ThreeQuarters,0.0795
P5,tPad,Clipped,ThreeQuarters,0.0734
P5,tPad,Clipped,ThreeQuarters,0.0179
P5,tPad,Clipped,ThreeQuarters,0.0751
P5,tPad,Clipped,ThreeQuarters,0.1441
P5,tPad,Clipped,ThreeQuarters,0.0356
P5,tPad,Clipped,ThreeQuarters,0.0537
P5,tPad,Clipped,Half,0.093
P5,tPad,Clipped,Half,0.1131
P5,tPad,Clipped,Half,0.1027
P5,tPad,Clipped,Half,0.0722
P5,tPad,Clipped,Half,0.0506
P5,tPad,Clipped,Half,0.041
P5,tPad,Clipped,Half,0.0773
P5,tPad,Clipped,Half,0.0762
P5,tPad,Clipped,Half,0.0576
P6,Normal,Clipped,ThreeQuarters,0.2949
P6,Normal,Clipped,ThreeQuarters,0.1844
P6,Normal,Clipped,ThreeQuarters,0.1623
P6,Normal,Clipped,ThreeQuarters,0.3044
P6,Normal,Clipped,ThreeQuarters,0.0705
P6,Normal,Clipped,ThreeQuarters,0.1435
P6,Normal,Clipped,ThreeQuarters,0.1116
P6,Normal,Clipped,ThreeQuarters,0.1452
