Participant,Ticks,Device,Method,Size,Trial,Capture,TimeMillis,Offset,Angle,CaptureRatio,MissRatio,Damaged
P2,635135611126149019,Normal,Normal,Quarter,2,0,14642.8375,0.0682,0.8488,0.0000,0.0000,0
P2,635135611307909415,Normal,Normal,Quarter,2,1,13671.7819,0.1161,1.4660,0.0000,0.0000,0
P2,635135611447877421,Normal,Normal,Quarter,2,2,8860.5068,0.0542,0.9240,0.0000,0.0000,0
P2,635135611696471640,Normal,Clipped,Quarter,0,0,16655.9527,0.1058,3.5512,1.4799,0.0000,0
P2,635135611899903275,Normal,Clipped,Quarter,0,1,13978.7995,0.0671,0.9833,1.4218,0.0000,0
P2,635135612134466692,Normal,Clipped,Quarter,0,2,19768.1307,0.1135,0.2332,1.3277,0.0000,0
P2,635135612360939645,Normal,Clipped,Quarter,1,0,16078.9196,0.0631,3.4125,1.3252,0.0000,0
P2,635135612652066297,Normal,Clipped,Quarter,1,1,20000.144,0.1085,1.9300,1.3799,0.0000,0
P2,635135612880339353,Normal,Clipped,Quarter,1,2,17250.9867,0.0349,0.9959,1.2562,0.0000,0
P2,635135613088861280,Normal,Clipped,Quarter,2,0,14799.8465,0.0383,1.5261,1.3094,0.0000,0
P2,635135613359616766,Normal,Clipped,Quarter,2,1,21863.2505,0.0716,0.9144,1.3522,0.0000,0
P2,635135613572098920,Normal,Clipped,Quarter,2,2,16530.9456,0.0629,2.0410,1.4125,0.0000,0
P2,635135614167492974,tPad,Clipped,ThreeQuarters,0,0,32195.8415,0.1346,2.0840,1.1890,0.0000,0
P2,635135614294210222,tPad,Clipped,ThreeQuarters,0,1,8250.4719,0.0904,1.1008,1.1893,0.0000,0
P2,635135614402886438,tPad,Clipped,ThreeQuarters,0,2,7931.4537,0.0570,0.2022,1.2814,0.0000,0
P2,635135614543524482,tPad,Clipped,ThreeQuarters,1,0,10819.6188,0.0402,1.6319,1.1047,0.0008,0
P2,635135614662851307,tPad,Clipped,ThreeQuarters,1,1,7415.4241,0.0538,0.8210,1.1291,0.0000,0
P2,635135614745506035,tPad,Clipped,ThreeQuarters,1,2,6489.3712,0.0899,0.3210,1.1271,0.0000,0
P2,635135614836361231,tPad,Clipped,ThreeQuarters,2,0,6879.3935,0.0180,0.2238,1.1223,0.0000,0
P2,635135614991880126,tPad,Clipped,ThreeQuarters,2,1,13582.7768,0.0806,1.2996,1.1866,0.0000,0
P2,635135615118767384,tPad,Clipped,ThreeQuarters,2,2,10463.5985,0.0576,1.0575,1.1728,0.0000,0
P2,635135615656798158,Normal,Clipped,Half,0,0,44246.5308,0.0907,1.2505,1.1324,0.0000,0
P2,635135615918563130,Normal,Clipped,Half,0,1,20012.1447,0.0516,1.5133,1.0496,0.0019,0
P2,635135616171197580,Normal,Clipped,Half,0,2,19650.124,0.0746,0.5200,1.1035,0.0001,0
P2,635135616415791570,Normal,Clipped,Half,1,0,17194.9835,0.0278,0.1461,1.1233,0.0000,0
P2,635135616670836157,Normal,Clipped,Half,1,1,16259.93,0.0471,0.3979,1.1256,0.0000,0
P2,635135616883588326,Normal,Clipped,Half,1,2,13890.7945,0.0307,0.4042,1.1024,0.0000,0
P2,635135617154273808,Normal,Clipped,Half,2,0,20988.2004,0.0204,1.0400,1.1625,0.0000,0
P2,635135617439990150,Normal,Clipped,Half,2,1,24199.3841,0.0945,2.5284,1.1279,0.0030,0
P2,635135617590588764,Normal,Clipped,Half,2,2,10539.6028,0.0000,0.5545,0.4434,0.5566,0
P2,635135618037864347,tPad,Clipped,Half,0,0,18224.0424,0.0528,1.3888,1.1767,0.0000,0
P2,635135618180022478,tPad,Clipped,Half,0,1,10435.5969,0.0990,2.5560,1.1914,0.0000,0
P2,635135618311900021,tPad,Clipped,Half,0,2,9463.5413,0.1454,1.0708,1.2386,0.0003,0
P2,635135618580825402,tPad,Clipped,Half,1,0,23320.3338,0.1575,1.5386,1.2416,0.0000,0
P2,635135618740404530,tPad,Clipped,Half,1,1,11077.6336,0.0672,0.4903,1.1919,0.0000,0
P2,635135618824779356,tPad,Clipped,Half,1,2,6826.3905,0.0761,1.1287,1.1863,0.0000,0
P2,635135618933665584,tPad,Clipped,Half,2,0,7572.4332,0.0676,2.5314,1.2320,0.0000,0
P2,635135619039701649,tPad,Clipped,Half,2,1,7260.4153,0.1070,0.7657,1.2239,0.0000,0
P2,635135619123536444,tPad,Clipped,Half,2,2,6319.3615,0.1181,0.2240,1.2520,0.0000,0
P2,635135619560371429,Normal,Clipped,ThreeQuarters,0,0,18447.0551,0.1206,0.3421,1.1832,0.0000,0
P2,635135619813255893,Normal,Clipped,ThreeQuarters,0,1,19936.1402,0.0383,0.3753,1.0841,0.0000,0
P2,635135620121643532,Normal,Clipped,ThreeQuarters,0,2,23698.3555,0.0976,0.1646,1.1267,0.0000,0
P2,635135620324645143,Normal,Clipped,ThreeQuarters,1,0,11447.6548,0.1272,0.5827,1.1509,0.0000,0
P2,635135620539927457,Normal,Clipped,ThreeQuarters,1,1,18740.0719,0.0518,1.3422,1.1753,0.0000,0
P2,635135620711087246,Normal,Clipped,ThreeQuarters,1,2,13495.7719,0.1694,0.1666,1.1863,0.0000,0
P2,635135620905208349,Normal,Clipped,ThreeQuarters,2,0,15163.8673,0.0372,0.3729,1.1525,0.0000,0
P2,635135621084478603,Normal,Clipped,ThreeQuarters,2,1,13818.7904,0.0505,0.2698,1.1241,0.0000,0
P2,635135621286240143,Normal,Clipped,ThreeQuarters,2,2,17334.9915,0.0447,1.0178,1.1186,0.0000,0
P2,635135621561715900,tPad,Clipped,Quarter,0,0,9207.5267,0.0206,2.7577,1.2090,0.0000,0
P2,635135621668462005,tPad,Clipped,Quarter,0,1,8281.4737,0.0587,0.3814,1.3087,0.0000,0
P2,635135621786278744,tPad,Clipped,Quarter,0,2,6895.3944,0.0297,0.9292,1.4380,0.0000,0
P2,635135621903635456,tPad,Clipped,Quarter,1,0,9998.5719,0.0491,0.4792,1.4966,0.0000,0
P2,635135621993840616,tPad,Clipped,Quarter,1,1,6924.3961,0.0616,1.0322,1.3460,0.0000,0
