Participant,Device,Method,Size,TimeMillis
P3,tPad,Clipped,ThreeQuarters,8203.4692
P3,tPad,Clipped,ThreeQuarters,12271.7019
P3,tPad,Clipped,ThreeQuarters,9787.5598
P3,tPad,Normal,Quarter,11762.6728
P3,tPad,Normal,Quarter,5903.3377
P3,tPad,Normal,Quarter,8923.5104
P3,tPad,Normal,Quarter,4864.2782
P3,tPad,Normal,Quarter,6603.3777
P3,tPad,Normal,Quarter,5203.2976
P3,tPad,Normal,Quarter,7244.4143
P3,tPad,Normal,Quarter,4399.2516
P3,tPad,Normal,Quarter,6703.3834
P3,tPad,Clipped,Half,11180.6395
P3,tPad,Clipped,Half,10729.6137
P3,tPad,Clipped,Half,11118.6359
P3,tPad,Clipped,Half,8843.5058
P3,tPad,Clipped,Half,8799.5033
P3,tPad,Clipped,Half,7395.423
P3,tPad,Clipped,Half,6079.3477
P3,tPad,Clipped,Half,9099.5205
P3,tPad,Clipped,Half,10827.6193
P3,tPad,Normal,Half,4997.2858
P3,tPad,Normal,Half,4471.2558
P3,tPad,Normal,Half,6480.3707
P3,tPad,Normal,Half,5520.3157
P3,tPad,Normal,Half,4991.2855
P3,tPad,Normal,Half,4123.2358
P3,tPad,Normal,Half,4763.2724
P3,tPad,Normal,Half,4344.2484
P3,tPad,Normal,Half,4391.2511
P3,tPad,Clipped,Quarter,9738.557
P3,tPad,Clipped,Quarter,8835.5054
P3,tPad,Clipped,Quarter,8851.5062
P3,tPad,Clipped,Quarter,10051.5749
P3,tPad,Clipped,Quarter,8471.4845
P3,tPad,Clipped,Quarter,7907.4523
P3,tPad,Clipped,Quarter,9404.5379
P3,tPad,Clipped,Quarter,8107.4638
P3,tPad,Clipped,Quarter,8479.485
P3,tPad,Normal,ThreeQuarters,4139.2368
P3,tPad,Normal,ThreeQuarters,4520.2586
P3,tPad,Normal,ThreeQuarters,4479.2562
P3,tPad,Normal,ThreeQuarters,4261.2437
P3,tPad,Normal,ThreeQuarters,6520.373
P3,tPad,Normal,ThreeQuarters,4847.2773
P3,tPad,Normal,ThreeQuarters,6499.3718
P3,tPad,Normal,ThreeQuarters,7099.4061
P3,tPad,Normal,ThreeQuarters,4298.2459
P4,Normal,Clipped,Quarter,22034.2603
P4,Normal,Clipped,Quarter,14670.8392
P4,Normal,Clipped,Quarter,7768.4444
P4,Normal,Clipped,Quarter,11811.6756
P4,Normal,Clipped,Quarter,10979.628
P4,Normal,Clipped,Quarter,13451.7694
P4,Normal,Clipped,Quarter,10907.6239
P4,Normal,Clipped,Quarter,9971.5703
P4,Normal,Clipped,Quarter,8000.4576
P4,Normal,Clipped,Half,24314.3907
P4,Normal,Clipped,Half,26639.5237
P4,Normal,Clipped,Half,16427.9396
P4,Normal,Clipped,Half,12731.7282
P4,Normal,Clipped,Half,15144.8662
P4,Normal,Clipped,Half,16674.9538
P4,Normal,Clipped,Half,14026.8022
P4,Normal,Clipped,Half,12263.7014
P4,Normal,Clipped,Half,16184.9257
P4,Normal,Normal,ThreeQuarters,6515.3727
P4,Normal,Normal,ThreeQuarters,10275.5878
P4,Normal,Normal,ThreeQuarters,8346.4774
P4,Normal,Normal,ThreeQuarters,5396.3086
P4,Normal,Normal,ThreeQuarters,4930.282
P4,Normal,Normal,ThreeQuarters,5560.318
P4,Normal,Normal,ThreeQuarters,3435.1965
P4,Normal,Normal,ThreeQuarters,6249.3574
P4,Normal,Normal,ThreeQuarters,11102.635
P4,Normal,Clipped,ThreeQuarters,13659.7813
P4,Normal,Clipped,ThreeQuarters,12935.7399
P4,Normal,Clipped,ThreeQuarters,7996.4574
P4,Normal,Clipped,ThreeQuarters,8875.5077
P4,Normal,Clipped,ThreeQuarters,11288.6456
P4,Normal,Clipped,ThreeQuarters,13890.7945
P4,Normal,Clipped,ThreeQuarters,22700.2984
P4,Normal,Clipped,ThreeQuarters,44695.5565
P4,Normal,Clipped,ThreeQuarters,18376.051
P4,Normal,Normal,Half,10015.5728
P4,Normal,Normal,Half,6259.358
P4,Normal,Normal,Half,5607.3207
P4,Normal,Normal,Half,7231.4136
P4,Normal,Normal,Half,4843.277
P4,Normal,Normal,Half,5552.3176
P4,Normal,Normal,Half,5620.3215
P4,Normal,Normal,Half,7718.4415
P4,Normal,Normal,Half,6475.3704
P4,tPad,Normal,Quarter,15561.8901
P4,tPad,Normal,Quarter,6535.3738
P4,tPad,Normal,Quarter,3576.2045
P4,tPad,Normal,Quarter,3579.2047
P4,tPad,Normal,Quarter,4390.2511
P4,tPad,Normal,Quarter,5955.3406
P4,tPad,Normal,Quarter,5164.2954
P4,tPad,Normal,Quarter,4963.2839
P4,tPad,Normal,Quarter,4396.2515
P4,Normal,Normal,Quarter,5152.2947
P4,Normal,Normal,Quarter,7895.4516
P4,Normal,Normal,Quarter,6872.393
P4,Normal,Normal,Quarter,6420.3672
P4,Normal,Normal,Quarter,6243.3571
P4,Normal,Normal,Quarter,5503.3147
P4,Normal,Normal,Quarter,8219.4701
P4,Normal,Normal,Quarter,5505.3148
P4,tPad,Normal,Half,5984.3423
P4,tPad,Normal,Half,5431.3107
P4,tPad,Normal,Half,4310.2465
P4,tPad,Normal,Half,6445.3686
P4,tPad,Normal,Half,4473.2558
P4,tPad,Normal,Half,5715.3269
P4,tPad,Normal,Half,4056.232
P4,tPad,Normal,Half,6036.3452
P4,tPad,Normal,Half,3935.2251
P4,tPad,Clipped,ThreeQuarters,18376.051
P4,tPad,Clipped,ThreeQuarters,9747.5576
P4,tPad,Clipped,ThreeQuarters,5976.3418
P4,tPad,Clipped,ThreeQuarters,7771.4445
P4,tPad,Clipped,ThreeQuarters,6755.3864
P4,tPad,Clipped,ThreeQuarters,6104.3492
P4,tPad,Clipped,ThreeQuarters,7261.4153
P4,tPad,Clipped,ThreeQuarters,6396.3658
P4,tPad,Clipped,ThreeQuarters,5567.3184
P4,tPad,Normal,ThreeQuarters,3644.2084
P4,tPad,Normal,ThreeQuarters,3635.2079
P4,tPad,Normal,ThreeQuarters,3594.2056
P4,tPad,Normal,ThreeQuarters,3615.2068
P4,tPad,Normal,ThreeQuarters,4380.2506
P4,tPad,Normal,ThreeQuarters,5509.3151
P4,tPad,Normal,ThreeQuarters,3164.181
P4,tPad,Normal,ThreeQuarters,3620.2071
P4,tPad,Normal,ThreeQuarters,3871.2214
P4,tPad,Clipped,Half,20736.186
P4,tPad,Clipped,Half,6822.3902
P4,tPad,Clipped,Half,6779.3877
P4,tPad,Clipped,Half,6916.3956
P4,tPad,Clipped,Half,7015.4013
P4,tPad,Clipped,Half,6511.3724
P4,tPad,Clipped,Half,13114.7502
P4,tPad,Clipped,Half,10031.5737
P4,tPad,Clipped,Half,8055.4607
P4,tPad,Clipped,Quarter,13055.7467
P4,tPad,Clipped,Quarter,9329.5336
P4,tPad,Clipped,Quarter,7880.4508
P4,tPad,Clipped,Quarter,6339.3626
P4,tPad,Clipped,Quarter,3022.1728
P4,tPad,Clipped,Quarter,2184.125
P4,tPad,Clipped,Quarter,2935.1679
P4,tPad,Clipped,Quarter,5241.2998
P4,tPad,Clipped,Quarter,2993.1712
P5,Normal,Clipped,Half,27955.599
P5,Normal,Clipped,Half,11580.6623
P5,Normal,Clipped,Half,10395.5946
P5,Normal,Clipped,Half,10987.6285
P5,Normal,Clipped,Half,12651.7236
P5,Normal,Clipped,Half,12351.7065
P5,Normal,Clipped,Half,10043.5744
P5,Normal,Clipped,Half,19156.0957
P5,Normal,Clipped,Half,16624.9509
P5,Normal,Clipped,ThreeQuarters,26911.5392
P5,Normal,Clipped,ThreeQuarters,25788.475
P5,Normal,Clipped,ThreeQuarters,17222.9851
P5,Normal,Clipped,ThreeQuarters,41008.3456
P5,Normal,Clipped,ThreeQuarters,17603.0068
P5,Normal,Clipped,ThreeQuarters,21129.2086
P5,Normal,Clipped,ThreeQuarters,15802.9039
P5,Normal,Clipped,ThreeQuarters,17608.0071
P5,Normal,Clipped,ThreeQuarters,17496.0007
P5,Normal,Clipped,Quarter,22647.2954
P5,Normal,Clipped,Quarter,15547.8893
P5,Normal,Clipped,Quarter,27670.5827
P5,Normal,Clipped,Quarter,13239.7573
P5,Normal,Clipped,Quarter,16270.9306
P5,Normal,Clipped,Quarter,13855.7926
P5,Normal,Clipped,Quarter,15448.8837
P5,Normal,Clipped,Quarter,33535.9181
P5,Normal,Clipped,Quarter,30803.7619
P5,tPad,Normal,Quarter,53351.0515
P5,tPad,Normal,Quarter,8063.4612
P5,tPad,Normal,Quarter,18816.0763
P5,tPad,Normal,Quarter,10347.5919
P5,tPad,Normal,Quarter,5123.293
P5,tPad,Normal,Quarter,9692.5543
P5,tPad,Normal,Quarter,9307.5323
P5,tPad,Normal,Quarter,9251.5292
P5,tPad,Normal,Quarter,10107.5782
P5,Normal,Normal,ThreeQuarters,58547.3487
P5,Normal,Normal,ThreeQuarters,10291.5886
P5,Normal,Normal,ThreeQuarters,10379.5936
P5,Normal,Normal,ThreeQuarters,8511.4868
P5,Normal,Normal,ThreeQuarters,9524.5448
P5,Normal,Normal,ThreeQuarters,9546.5461
P5,Normal,Normal,ThreeQuarters,11097.6347
P5,Normal,Normal,ThreeQuarters,12127.6936
P5,Normal,Normal,Half,34314.9628
P5,Normal,Normal,Half,12447.712
P5,Normal,Normal,Half,11335.6483
P5,Normal,Normal,Half,18267.0448
P5,Normal,Normal,Half,15815.9046
P5,Normal,Normal,Half,13035.7456
P5,Normal,Normal,Half,12971.742
P5,Normal,Normal,Half,14578.8339
P5,Normal,Normal,Half,11663.6672
P5,Normal,Normal,Quarter,29675.6973
