Reading,xRead,yRead,zRead,xAng,yAng,zAng,x,y,z,direction
895,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
896,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
897,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
898,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
899,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
900,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
901,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
902,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
903,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
904,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
905,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
906,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
907,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
908,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
909,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
910,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
911,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
912,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
913,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
914,0.0428571428571,0.0285714285714,0.442857142857,0,-4,87,357.37,360,270,1.0
915,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
916,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
917,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
918,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
919,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
920,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
921,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
922,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
923,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
924,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
925,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
926,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
927,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
928,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
929,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
930,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
931,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
932,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
933,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
934,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
935,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
936,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
937,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
938,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
939,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
940,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
941,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
942,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
943,0.0392857142857,0.0285714285714,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
944,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
945,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
946,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
947,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
948,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
949,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
950,0.0428571428571,0.0285714285714,0.446428571429,0,-4,88,357.4,360,270,1.0
951,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
952,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
953,0.0392857142857,0.0285714285714,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
954,0.0428571428571,0.0285714285714,0.446428571429,0,-4,88,357.4,360,270,1.0
955,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
956,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
957,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
958,0.0428571428571,0.0285714285714,0.446428571429,0,-4,88,357.4,360,270,1.0
959,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
960,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
961,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
962,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
963,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
964,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
965,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
966,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
967,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
968,0.0428571428571,0.025,0.446428571429,0,-4,88,357.4,360,270,1.0
969,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
970,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
971,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
972,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
973,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
974,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
975,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
976,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
977,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
978,0.0428571428571,0.0285714285714,0.446428571429,0,-4,88,357.4,360,270,1.0
979,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
980,0.0392857142857,0.0285714285714,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
981,0.0392857142857,0.0285714285714,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
982,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
983,0.0392857142857,0.0285714285714,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
984,0.0392857142857,0.025,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
985,0.0392857142857,0.0285714285714,0.442857142857,-1,-4,87,357.37,359.34,255.96,1.0
986,0.0428571428571,0.025,0.442857142857,0,-4,87,357.37,360,270,1.0
987,0.0392857142857,0.025,0.446428571429,-1,-4,88,357.4,359.35,255.96,1.0
