Participant,Ticks,Device,Method,Size,Trial,Capture,TimeMillis,Offset,Angle,CaptureRatio,MissRatio
P6,"635,139,027,013,072,000.00",Normal,Clipped,ThreeQuarters,0,0,28179.6118,.2949,.6183,1.5193,0
P6,"635,139,027,224,553,980.00",Normal,Clipped,ThreeQuarters,0,1,20226.1568,.1844,.2813,1.274,0
P6,"635,139,027,416,555,010.00",Normal,Clipped,ThreeQuarters,0,2,16023.9165,.1623,.4274,1.26,0
P6,"635,139,027,650,738,940.00",Normal,Clipped,ThreeQuarters,1,0,19918.1393,.3044,.3911,1.5156,0
P6,"635,139,027,807,917,950.00",Normal,Clipped,ThreeQuarters,1,1,14716.8418,7.0499,.2837,1.2075,0
P6,"635,139,027,959,096,060.00",Normal,Clipped,ThreeQuarters,1,2,14390.8231,.1434,1.2199,1.3569,0
P6,"635,139,028,142,306,940.00",Normal,Clipped,ThreeQuarters,2,0,16911.9673,.1116,.7459,1.3231,0
P6,"635,139,028,279,905,020.00",Normal,Clipped,ThreeQuarters,2,1,13171.7534,.1452,.6259,1.2451,0
P6,"635,139,028,457,064,960.00",Normal,Clipped,ThreeQuarters,2,2,16719.9563,9.4799,5.34,1.2013,0
P6,"635,139,030,212,135,040.00",Normal,Clipped,Half,0,0,10535.6026,.1053,.2813,1.1878,0
P6,"635,139,030,425,447,040.00",Normal,Clipped,Half,0,1,16422.9394,.1132,1.4399,1.3252,0
P6,"635,139,030,788,048,000.00",Normal,Clipped,Half,0,2,32171.8401,.1061,8.63,1.1937,0
P6,"635,139,030,998,240,000.00",Normal,Clipped,Half,1,0,13282.7598,8.6999,1.1496,1.1548,0
P6,"635,139,031,122,967,040.00",Normal,Clipped,Half,1,1,9618.5502,.1166,0,1.2296,0
P6,"635,139,031,224,443,010.00",Normal,Clipped,Half,1,2,7743.4429,.1086,.5535,1.2995,0
P6,"635,139,031,336,560,000.00",Normal,Clipped,Half,2,0,6787.3882,.1096,0,1.494,0
P6,"635,139,031,470,717,060.00",Normal,Clipped,Half,2,1,10031.5738,7.7299,.3064,1.2472,0
P6,"635,139,031,593,324,030.00",Normal,Clipped,Half,2,2,10024.5734,0,4.2799,1.3289,0
P6,"635,139,032,903,828,990.00",Normal,Clipped,Quarter,0,0,20897.1952,9.3899,1.7723,1.4544,0
P6,"635,139,033,087,320,060.00",Normal,Clipped,Quarter,0,1,14668.839, ,1.6736,1.3154,0
P6,"635,139,033,249,908,990.00",Normal,Clipped,Quarter,0,2,13823.7907,8.8499,1.1016,1.3379,0
P6,"635,139,033,379,986,050.00",Normal,Clipped,Quarter,1,0,10127.5793,2.5899,.4897,1.554,0
P6,"635,139,033,520,384,000.00",Normal,Clipped,Quarter,1,1,11889.68,7.09,.9535,1.3848,0
P6,"635,139,033,661,062,020.00",Normal,Clipped,Quarter,1,2,12282.7025,4.6699,.3603,1.5132,0
P6,"635,139,033,854,503,940.00",Normal,Clipped,Quarter,2,0,18079.0341, ,7.3499,1.582,0
P6,"635,139,033,963,779,970.00",Normal,Clipped,Quarter,2,1,9719.5559,.1202,0,1.4433,0
P6,"635,139,034,072,716,030.00",Normal,Clipped,Quarter,2,2,9604.5494,9.9299,.4951,1.375,0
P7,635139093076570586,Normal,Clipped,ThreeQuarters,0,1,18368.0506,.1628,.6575,1.2924,0
P7,635139093247690373,Normal,Clipped,ThreeQuarters,0,2,13555.7753,.2396,.3342,1.4089,0
P7,635139093472043205,Normal,Clipped,ThreeQuarters,1,0,19875.1367,.1218,2.4437,1.3069,0
P7,635139093605240824,Normal,Clipped,ThreeQuarters,1,1,11690.6687,.3539,.1567,1.48,0
P7,635139093844884531,Normal,Clipped,ThreeQuarters,1,2,15307.8756,.1542,.4754,1.4065,0
P7,635139093978322163,Normal,Clipped,ThreeQuarters,2,0,9079.5193,.1918,3.9198,1.3448,0
P7,635139094084678246,Normal,Clipped,ThreeQuarters,2,1,7423.4246,.2021,1.7686,1.3962,0
P7,635139094196764657,Normal,Clipped,ThreeQuarters,2,2,9659.5525,.4426,1.7888,1.6323,0
P7,635139095616635869,Normal,Clipped,Half,0,1,15647.895,.1607,1.0984,1.1977,2.3999
P7,635139095724872060,Normal,Clipped,Half,0,2,9071.5189,.1661,.5677,1.2039,2.7
P7,635139095968065970,Normal,Clipped,Half,1,0,22775.3027,.113,.4636,1.4198,0
P7,635139096083432568,Normal,Clipped,Half,1,1,10532.6024,.2051,2.712,1.4198,0
P7,635139096265342973,Normal,Clipped,Half,1,2,16970.9707,.1562,.7724,1.3819,0
P7,635139096320066103,Normal,Clipped,Half,2,0,4263.2438,9.02,2.3372,1.2083,5
P7,635139096434982676,Normal,Clipped,Half,2,1,9615.55,.2535,3.6124,1.7231,0
P7,635139096649784962,Normal,Clipped,Half,2,2,16635.9515,.1207,1.0341,1.3361,0
P7,635139098588175832,Normal,Clipped,Quarter,0,0,18584.063,.5091,.5786,2.9859,0
P7,635139098786407170,Normal,Clipped,Quarter,0,1,14355.8211,0,4.4683,1.9395,0
P7,635139098957596961,Normal,Clipped,Quarter,0,2,13234.757,.2006,4.5701,1.7591,0
